ReportingResultId,GeographicAreaId,GeographicAreaName,GeographicAreaCode_ISO3,GeographicAreaCode_ISO2,ComponentId,ComponentName,ReportingResultIndicatorId,ReportingResultIndicatorName,ReportingResultValue,ReportingResultYear,ReportingResultSemester,ReportingResultSource,MeetsFinancialCriteria
e0fc5206-9089-410a-9b2d-0016b5d9f62a,57e3816a-7b6f-400d-9621-1c82042a7765,Dominican Republic,DOM,DO,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,4a56e5c3-f2d8-4379-8031-9a24727c7225,Insecticide-treated nets distributed,103500,2011,2,Mid 2012 Global Fund Results.,True
b2ced38f-8094-49c9-b2bd-001e08dc4fa6,56c65361-a920-473c-b1c7-76b842d66bae,Bolivia (Plurinational State),BOL,BO,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,8ba105f3-4f4c-40cf-958a-e5f171f002c4,Laboratory-confirmed pulmonary TB detected and treated (cumulative),11690,2007,2,Mid 2008 Global Fund Results.,True
749701b5-2e3c-4911-b580-0029fcaa64d0,8acadd9d-dffc-412f-99f4-49ddcb30f64a,Zanzibar,QNB,,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,8ba105f3-4f4c-40cf-958a-e5f171f002c4,Laboratory-confirmed pulmonary TB detected and treated (cumulative),1504,2013,2,Mid 2014 Global Fund Results.,True
5288a6bd-7452-408c-9e96-003579d1f4cf,6a035503-7fc3-41bf-85f8-757fcb9e2773,Gambia,GMB,GM,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,4a56e5c3-f2d8-4379-8031-9a24727c7225,Insecticide-treated nets distributed,1508480,2011,2,Mid 2012 Global Fund Results.,True
f22873dd-f140-43ed-90af-003d7cc4a920,38565614-b542-4558-96f5-6c0ab3e36f97,Honduras,HND,HN,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,4a56e5c3-f2d8-4379-8031-9a24727c7225,Insecticide-treated nets distributed,104728,2014,2,Mid 2015 Global Fund Results.,True
7b67e917-42da-4fcc-b7da-00430c38044f,1095c077-a626-4f85-bd3f-42c01deceec8,Afghanistan,AFG,AF,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,8ba105f3-4f4c-40cf-958a-e5f171f002c4,Laboratory-confirmed pulmonary TB detected and treated (cumulative),110049,2015,2,Mid 2016 Global Fund Results.,True
4cdc898d-3ed5-44d1-9692-00556209f8f1,780f55f5-d8cd-4189-944e-e2b82dcc317b,Congo,COG,CG,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2fbe153b-6c4a-4a17-8809-80be2fe7fcc8,People currently on antiretroviral therapy,7994,2009,2,Mid 2010 Global Fund Results.,True
b392df6d-00e2-4428-84ba-007575b288a7,a37a1d83-5b1b-4b7f-af9f-1808fdffd792,Guinea,GIN,GN,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,8ba105f3-4f4c-40cf-958a-e5f171f002c4,Laboratory-confirmed pulmonary TB detected and treated (cumulative),13376,2012,2,Mid 2013 Global Fund Results.,True
178a3887-43dd-4ed3-a4b6-007efb7146cb,ef4cf219-ea30-4c9a-a2de-50e084257917,Somalia,SOM,SO,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,8ba105f3-4f4c-40cf-958a-e5f171f002c4,Laboratory-confirmed pulmonary TB detected and treated (cumulative),55132,2012,2,Mid 2013 Global Fund Results.,True
1630c91c-7014-4d45-ba4a-008a2b1d326b,1095c077-a626-4f85-bd3f-42c01deceec8,Afghanistan,AFG,AF,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2fbe153b-6c4a-4a17-8809-80be2fe7fcc8,People currently on antiretroviral therapy,252,2014,2,Mid 2015 Global Fund Results.,True
8cd4d48d-85a6-4069-9f6a-008be2257b1c,216dd399-f56a-4064-a4ac-f88cc982fde5,Armenia,ARM,AM,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,8ba105f3-4f4c-40cf-958a-e5f171f002c4,Laboratory-confirmed pulmonary TB detected and treated (cumulative),3733,2014,2,Mid 2015 Global Fund Results.,True
6674648f-de69-4894-8679-00a30e0d9eb7,9d649eea-d30c-48d6-9e99-fb866d5bca72,Multicountry Africa (West Africa Corridor Program),QMC,,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2fbe153b-6c4a-4a17-8809-80be2fe7fcc8,People currently on antiretroviral therapy,3927,2009,2,Mid 2010 Global Fund Results.,True
8191ff5b-69b2-4de5-b9d1-00e5ddc45fc8,d9728bba-df64-4ff5-9968-f195de080917,Sierra Leone,SLE,SL,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,8ba105f3-4f4c-40cf-958a-e5f171f002c4,Laboratory-confirmed pulmonary TB detected and treated (cumulative),6144,2007,2,Mid 2008 Global Fund Results.,True
2b18d273-5561-4a54-bddc-0114bdf3772b,63887eb8-fa1d-45d5-8fd3-acbb7c2188c6,Central African Republic,CAF,CF,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,4a56e5c3-f2d8-4379-8031-9a24727c7225,Insecticide-treated nets distributed,801642,2014,2,Mid 2015 Global Fund Results.,True
69ea887b-400a-468d-b6f9-012aca5a9546,778aa112-0067-4fe9-a0b4-e4bd72ef67de,Nepal,NPL,NP,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,8ba105f3-4f4c-40cf-958a-e5f171f002c4,Laboratory-confirmed pulmonary TB detected and treated (cumulative),33207,2007,2,Mid 2008 Global Fund Results.,True
